image,category,png_kb,hkn_kb,png_dec_ms,hkn_dec_ms,size_ratio_hkn_over_png,size_change_percent,enc_speedup_hkn_vs_png,dec_speedup_hkn_vs_png
browser,UI,10.0,21.5,12.31,13.14,2.15,115,0.0,0.9368
vscode,UI,11.4,50.0,12.05,15.21,4.386,337,0.0,0.7922
terminal,UI,9.7,27.9,11.42,14.19,2.8763,189,0.0,0.8048
anime_girl,Anime,9.0,37.6,11.4,14.02,4.1778,318,0.0,0.8131
anime_sunset,Anime,10.4,39.9,13.25,14.62,3.8365,283,0.0,0.9063
nature_01,Photo,1251.4,919.1,16.37,42.11,0.7345,-26,0.0,0.3887
nature_02,Photo,1412.6,992.6,19.51,48.59,0.7027,-29,0.0,0.4015
minecraft_2d,Game,8.8,31.3,11.18,13.32,3.5568,257,0.0,0.8393
retro,Game,9.4,38.9,12.11,13.07,4.1383,314,0.0,0.9265
kodim01,Natural,5.1,125.8,1.33,7.74,24.6667,2376,0.0,0.1718
kodim02,Natural,2.2,27.8,2.03,3.43,12.6364,1190,0.0,0.5918
kodim03,Natural,117.6,453.2,2.88,14.36,3.8537,285,0.0,0.2006
hd_01,Natural,8.6,991.2,10.44,53.99,115.2558,11453,0.0,0.1934
