category,image,codec,quality,size_bytes,size_kb,psnr_db,encode_ms,decode_ms
UI,test_images/ui/browser.ppm,PNG_lossless,100,4378,4.275,99.0,26.5958,39.9902
UI,test_images/ui/browser.ppm,JPEG_q75,75,119234,116.439,44.2636,11.3529,8.8739
UI,test_images/ui/browser.ppm,JPEG_q90,90,139957,136.677,47.1562,10.5381,8.3
UI,test_images/ui/browser.ppm,HKN_q75_444_cfl1,75,482980,471.66,41.3394,481.2121,39.85
UI,test_images/ui/browser.ppm,HKN_q90_444_cfl1,90,506665,494.79,46.117,492.3064,40.2864
UI,test_images/ui/vscode.ppm,PNG_lossless,100,6147,6.003,99.0,26.8013,35.3774
UI,test_images/ui/vscode.ppm,JPEG_q75,75,147038,143.592,33.7565,10.0012,8.3279
UI,test_images/ui/vscode.ppm,JPEG_q90,90,193019,188.495,35.2141,9.8197,8.6177
UI,test_images/ui/vscode.ppm,HKN_q75_444_cfl1,75,486661,475.255,38.3545,505.8893,41.0276
UI,test_images/ui/vscode.ppm,HKN_q90_444_cfl1,90,537110,524.521,43.4364,513.4675,39.2238
UI,test_images/ui/terminal.ppm,PNG_lossless,100,2902,2.834,99.0,25.864,35.1016
UI,test_images/ui/terminal.ppm,JPEG_q75,75,110474,107.885,37.9756,9.0632,7.8517
UI,test_images/ui/terminal.ppm,JPEG_q90,90,134251,131.104,39.4387,8.4464,8.6131
UI,test_images/ui/terminal.ppm,HKN_q75_444_cfl1,75,408770,399.189,40.5672,487.3674,39.11
UI,test_images/ui/terminal.ppm,HKN_q90_444_cfl1,90,431234,421.127,45.4629,478.9759,38.4237
Anime,test_images/anime/anime_girl_portrait.ppm,PNG_lossless,100,9722,9.494,99.0,28.1796,35.7191
Anime,test_images/anime/anime_girl_portrait.ppm,JPEG_q75,75,18508,18.074,45.4101,7.8568,6.7967
Anime,test_images/anime/anime_girl_portrait.ppm,JPEG_q90,90,22038,21.521,46.9045,8.3415,7.4262
Anime,test_images/anime/anime_girl_portrait.ppm,HKN_q75_444_cfl1,75,123425,120.532,39.0071,468.4535,32.5285
Anime,test_images/anime/anime_girl_portrait.ppm,HKN_q90_444_cfl1,90,134232,131.086,39.3827,469.3321,33.8384
Anime,test_images/anime/anime_sunset.ppm,PNG_lossless,100,10896,10.641,99.0,48.0465,51.1818
Anime,test_images/anime/anime_sunset.ppm,JPEG_q75,75,24649,24.071,40.5782,8.1993,7.318
Anime,test_images/anime/anime_sunset.ppm,JPEG_q90,90,43686,42.662,41.6731,8.6815,7.853
Anime,test_images/anime/anime_sunset.ppm,HKN_q75_444_cfl1,75,162303,158.499,39.7124,482.24,32.6578
Anime,test_images/anime/anime_sunset.ppm,HKN_q90_444_cfl1,90,327889,320.204,40.7419,491.4364,37.7571
Photo,test_images/photo/nature_01.ppm,PNG_lossless,100,1316416,1285.562,99.0,179.9158,56.2734
Photo,test_images/photo/nature_01.ppm,JPEG_q75,75,185472,181.125,75.4378,10.624,9.3588
Photo,test_images/photo/nature_01.ppm,JPEG_q90,90,226181,220.88,48.2292,12.4892,9.7819
Photo,test_images/photo/nature_01.ppm,HKN_q75_444_cfl1,75,967727,945.046,34.1894,552.564,48.832
Photo,test_images/photo/nature_01.ppm,HKN_q90_444_cfl1,90,1249242,1219.963,40.7572,573.1664,52.1666
Photo,test_images/photo/nature_02.ppm,PNG_lossless,100,1520344,1484.711,99.0,200.0146,60.518
Photo,test_images/photo/nature_02.ppm,JPEG_q75,75,203074,198.314,72.9538,11.3637,10.1654
Photo,test_images/photo/nature_02.ppm,JPEG_q90,90,247047,241.257,49.2758,12.1627,9.674
Photo,test_images/photo/nature_02.ppm,HKN_q75_444_cfl1,75,1058186,1033.385,34.8342,544.3778,48.8352
Photo,test_images/photo/nature_02.ppm,HKN_q90_444_cfl1,90,1353229,1321.513,41.3544,568.6945,53.3797
