codec,category,count,avg_size_kb,avg_psnr_db,avg_encode_ms,avg_decode_ms
HKN_q75_444_cfl1,Anime,2,139.516,39.3598,475.3468,32.5932
HKN_q75_444_cfl1,Photo,2,989.216,34.5118,548.4709,48.8336
HKN_q75_444_cfl1,UI,3,448.701,40.087,491.4896,39.9959
HKN_q90_444_cfl1,Anime,2,225.645,40.0623,480.3843,35.7978
HKN_q90_444_cfl1,Photo,2,1270.738,41.0558,570.9304,52.7732
HKN_q90_444_cfl1,UI,3,480.146,45.0054,494.9166,39.3113
JPEG_q75,Anime,2,21.073,42.9942,8.0281,7.0573
JPEG_q75,Photo,2,189.719,74.1958,10.9939,9.7621
JPEG_q75,UI,3,122.639,38.6652,10.1391,8.3512
JPEG_q90,Anime,2,32.091,44.2888,8.5115,7.6396
JPEG_q90,Photo,2,231.069,48.7525,12.3259,9.7279
JPEG_q90,UI,3,152.092,40.603,9.6014,8.5103
PNG_lossless,Anime,2,10.067,99.0,38.1131,43.4505
PNG_lossless,Photo,2,1385.137,99.0,189.9652,58.3957
PNG_lossless,UI,3,4.371,99.0,26.4204,36.8231
