category,image,quality,width,height,raw_bytes,src_ppm_bytes,hkn_bytes,bpp,psnr_db,encode_ms_median,decode_ms_median,ratio_src_over_hkn,ratio_hkn_over_raw,runs
ui,test_images/ui/browser.ppm,50,1920,1080,6220800,6220817,388512,1.498889,36.7761,222.82,65.4142,16.011904,0.062454,1
ui,test_images/ui/vscode.ppm,50,1920,1080,6220800,6220817,366646,1.414529,31.8568,225.241,67.9393,16.966821,0.058939,1
ui,test_images/ui/terminal.ppm,50,1920,1080,6220800,6220817,321141,1.23897,31.856,217.601,61.7683,19.370983,0.051624,1
anime,test_images/anime/anime_girl_portrait.ppm,50,1920,1080,6220800,6220817,65391,0.25228,37.0075,224.246,56.6112,95.132618,0.010512,1
anime,test_images/anime/anime_sunset.ppm,50,1920,1080,6220800,6220817,70859,0.273376,37.0222,202.94,62.7045,87.791487,0.011391,1
game,test_images/game/minecraft_2d.ppm,50,1920,1080,6220800,6220817,192868,0.74409,31.6779,208.516,59.8012,32.254272,0.031004,1
game,test_images/game/retro.ppm,50,1920,1080,6220800,6220817,73779,0.284641,40.2805,198.705,58.5771,84.316906,0.01186,1
photo,test_images/photo/nature_01.ppm,50,1920,1080,6220800,6220817,626731,2.417944,31.5143,244.671,68.9062,9.925817,0.100748,1
photo,test_images/photo/nature_02.ppm,50,1920,1080,6220800,6220817,729552,2.81463,31.7205,246.837,72.7732,8.5269,0.117276,1
natural,test_images/kodak/kodim03.ppm,50,768,512,1179648,1179663,96603,1.965393,17.7573,44.571,17.3868,12.211453,0.081891,1
natural,test_images/kodak/hd_01.ppm,50,1920,1080,6220800,6220817,441169,1.702041,16.2798,248.889,70.8824,14.100757,0.070918,1
